epoch,train_loss,eval_loss,eval_top1,eval_top5
0,0.6414374372530206,0.29443983267143503,92.75192892214169,100.0
1,0.6333050045872403,0.2996569531861939,92.02712181435585,100.0
2,0.6326609384512233,0.29549107913634254,92.00374093991115,100.0
3,0.6276445324732879,0.32219489509322974,91.74655132101941,100.0
4,0.6208141817110722,0.2945919499125245,91.93359831657703,100.0
5,0.6137282704499281,0.319198600329443,91.7231704465747,100.0
6,0.6149821638921711,0.3173254816253971,91.37245732990414,100.0
7,0.6057983212242617,0.3173659078729802,91.41921907879355,100.0
8,0.6036903513229896,0.3378144958628542,90.97498246434417,100.0
9,0.5986964649825453,0.33129653124879505,91.25555295768062,100.0
10,0.588745526454159,0.319072416251247,91.65302782324059,100.0
11,0.585914343303052,0.3434079514643509,90.90483984101006,100.0
12,0.582840536479081,0.3413663365753393,90.46060322656068,100.0
13,0.5739285290380505,0.34455543702134245,90.6476502221183,100.0
14,0.5731639766665263,0.3474113635783277,90.29693710544774,100.0
15,0.5673372982122074,0.33813215136834607,90.76455459434183,100.0
16,0.5590311366542478,0.35650552152500325,90.25017535655833,100.0
17,0.5608339613703924,0.3491066713352083,90.50736497545009,100.0
18,0.5569475642988615,0.3482992743913442,90.41384147767127,100.0
19,0.5520579923675439,0.3646119235691858,89.45522562543839,100.0
20,0.5422472123927045,0.3527279901663388,90.22679448211363,100.0
21,0.5446940343513667,0.3677342829301253,89.78255786766425,100.0
22,0.5414234980662292,0.3454639250523637,90.5541267243395,100.0
23,0.5373014396874705,0.3663176689188085,89.64227262099602,100.0
24,0.5369573269352734,0.37333645429989154,89.66565349544074,100.0
25,0.5318346610136121,0.36663046616495615,89.68903436988543,100.0
26,0.5274847687126321,0.3731617660117757,90.13327098433481,100.0
