epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.0630681871991805,1.5650394206671951,85.45709734406738,100.0
1,0.9397196202916595,0.5355428217420072,87.0469968562542,100.0
2,0.9373925583136111,0.5054874044031024,86.88333062811212,100.0
3,0.9374760426724538,0.4910755931341623,85.78442945785825,100.0
4,0.9281836326942083,0.5032167126426135,85.38695494371066,100.0
5,0.9220510716610443,0.4805998200773217,87.72504204390398,100.0
6,0.9223715920971437,0.4699703885387365,88.21604042151333,100.0
7,0.9174352116932419,0.48030788635912136,86.743045390363,100.0
8,0.9149873516578821,0.46864858686380473,88.1926596380434,100.0
9,0.9124197327292597,0.5195712582451009,86.01823833609174,100.0
10,0.9065623691823246,0.49377417097184767,86.60276002417888,100.0
11,0.9034963357962519,0.45156394118373017,88.2861830305769,100.0
12,0.9055078888290438,0.46440378989547887,87.74842305213512,100.0
13,0.9019296620128617,0.47366001487112724,87.37432890047613,100.0
14,0.8971072357034332,0.49222030268530437,85.94809589827481,100.0
15,0.9013226936668252,0.47691170281064493,85.31681182269101,100.0
16,0.8977884434625805,0.5902276390556813,85.97147680661209,100.0
17,0.8929636848211038,0.5052833201915464,83.93734019834471,100.0
18,0.8992652260041262,0.44639341385113124,86.9067114169335,100.0
19,0.8921028710105233,0.4870173692640535,87.88870814896254,100.0
20,0.8877559838443734,0.4858649732884275,87.32756721580421,100.0
21,0.8898275545551783,0.4686269120395755,87.63151859072065,100.0
22,0.8897867000316094,0.4554421130026895,87.51461412573853,100.0
23,0.8847373363807082,0.49107340903225866,87.60813782330509,100.0
24,0.8860481627523126,0.5690235393555164,86.93009261960094,100.0
25,0.8848115224567498,0.47635855252758935,85.34019277383993,100.0
26,0.8841211566413615,0.450986508305298,87.32756713553235,100.0
27,0.882576128536469,0.49860308068306447,87.51461426309261,100.0
28,0.8815043161009807,0.5649128594401565,86.48585610682925,100.0
29,0.877135264823364,0.4597316901448845,87.65489951867993,100.0
30,0.8469885365611163,0.4432694855550474,88.4966109737158,100.0
31,0.8377727849877094,0.43466632411855943,88.59013445722407,100.0
32,0.8298427586884738,0.43498791224326044,88.84732404400708,100.0
33,0.8286257697288254,0.4261732686338008,88.87070489704595,100.0
34,0.827902716646853,0.4245273385589748,88.84732401724979,100.0
35,0.8213515895272906,0.4355467434886295,88.49661094874234,100.0
36,0.8206630481822926,0.4485217566774609,88.44984923909695,100.0
37,0.8223658763146425,0.44821217354767673,88.63689623108695,100.0
38,0.8167071357510444,0.43248824231363164,88.59013448041372,100.0
39,0.8167613820155545,0.43643625994792795,88.40308750626191,100.0
