epoch,train_loss,eval_loss,eval_top1,eval_top5
0,1.1368111641746814,0.6922700333628723,75.94108019639934,100.0
1,0.8698048653585888,0.5324092539136644,82.55786766425064,100.0
2,0.7864588393925507,0.4824485061378827,85.71428571428571,100.0
3,0.7339580314599465,0.44269025431689407,87.14051905541267,100.0
4,0.7034831196626771,0.4430272424223826,86.15852232873509,100.0
5,0.6889001802584835,0.4385751081120614,86.85994856207623,100.0
6,0.6691898535275571,0.39455905010384157,87.93546878653261,100.0
7,0.6577755325865523,0.4367195488081543,87.21066167874679,100.0
8,0.6500232724107314,0.44049303858308614,87.3041851765256,100.0
9,0.6366789040721466,0.4485903482641158,87.04699555763385,100.0
10,0.6312104804006136,0.439070101817802,86.97685293429974,100.0
11,0.6243452241000171,0.45326284461136257,86.55599719429506,100.0
12,0.6102841362705298,0.44539403232537,87.09375730652326,100.0
13,0.6045979552249485,0.45256297512257354,86.62613981762918,100.0
14,0.5989782673245836,0.4543053153828257,86.48585457096095,100.0
15,0.5942976410352738,0.46034106728571833,86.39233107318213,100.0
16,0.5873692005524569,0.4478777999043994,86.36895019873744,100.0
17,0.5811545726016303,0.4564283181914721,86.83656768763151,100.0
